"normalizedKey","duplicateCount","pillarId","subPageName","nestedPageName","topicName","quizTitle","slug","questionCount","path"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 2","teas-reading-practice-test-set-2","88","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/15BJZ9M7ZzW0shv3jcPl"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 10","teas-reading-practice-test-set-10","44","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/1Q1BfIfJvBSGTfEswUs6"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 12","teas-reading-practice-test-set-12","44","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/5NTvfpVOtE5a560DsykQ"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 6","teas-reading-practice-test-set-6","44","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/8xmVvFmwDEEo4qyUN4PB"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 13","teas-reading-practice-test-set-13","44","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/DdOaj7o2STEkWwbqKigF"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 8","teas-reading-practice-test-set-8","21","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/KE4W8od6saoSm7hkp00V"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 15","teas-reading-practice-test-set-15","45","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/R8xoEcO05QfGke6epALS"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 7","teas-reading-practice-test-set-7","47","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/SXUhU5ldn3Tw8AaS1tri"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 9","teas-reading-practice-test-set-9","44","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/VN1Ns3W8Jo3kgHVmxMze"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 1","teas-reading-practice-test-set-1","44","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/eNCAkl1f48I13l0ohsbL"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 14","teas-reading-practice-test-set-14","49","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/fS0tPhwfWPmZ7p1qLhkC"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 3","teas-reading-practice-test-set-3","69","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/kD4oQPOQqrEb3IzASVS1"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 11","teas-reading-practice-test-set-11","19","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/mR7LVDa7EQWk5YBeAFsD"
"teas reading","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Reading Practice Test","","TEAS Reading Practice Test Set 16","teas-reading-practice-test-set-16","44","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/2JIZgWhm9jUkoNFmkY7R/quizzes/qdPBG0cUyM12WznCL1yH"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 13","teas-math-practice-test-set-13","38","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/0JtFd1AYoWvYcJtUlxfa"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 1","teas-math-practice-test-set-1","38","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/3KVRmArpLdurDdIdi3S0"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 2","teas-math-practice-test-set-2","37","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/C8oSuKgoQqrjMN6IQDcn"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 3","teas-math-practice-test-set-3","35","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/F3udSLa0H0faEPrQaV3U"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 16","teas-math-practice-test-set-16","38","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/IftpKs2gUa9OxXtMRbh3"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 14","teas-math-practice-test-set-14","39","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/LIi0LBEmXKLcLv0e8m3I"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 9","teas-math-practice-test-set-9","38","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/ZEWlsdPiaV3eZ6DLazrv"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 15","teas-math-practice-test-set-15","39","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/ci7XXrNZpyPVT4uksNue"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 12","teas-math-practice-test-set-12","40","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/ehjVrzL4dJP0Bii6btYm"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 7","teas-math-practice-test-set-7","40","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/gg8CLwVXq1pVrZxqKLMd"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 8","teas-math-practice-test-set-8","18","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/m9bPVWGpPk85VtHCz0yX"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 6","teas-math-practice-test-set-6","41","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/rRulXMeohYgiEAcLmjiZ"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 11","teas-math-practice-test-set-11","21","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/wm20wssdsah839RR1SLn"
"teas math","14","nursing-entrance-exam","ATI TEAS 7","ATI TEAS Math Practice Test","","TEAS Math Practice Test Set 10","teas-math-practice-test-set-10","38","pillarPages/nursing-entrance-exam/subPages/yrdSf0KpOcuybL1SLnw7/nestedSubPages/e9EcRCWTbyKVpyLXUKzd/quizzes/z92YY14uxYfs8h9YvNXq"
